dataset,suite,model,seed,kind,device,wall_s,budget,split,acc,bacc,logloss,auroc,brier,ece,smece
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,20,id,0.8108,0.8046126578192503,0.40002307870934506,0.8954945476228046,0.12853958510628363,0.012146044744931056,0.01579820905464269
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,20,ood,0.7016866938595524,0.7575633987953633,0.5760989149841643,0.8377754088075953,0.19694857789626558,0.2811722945282386,0.28094455513680405
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,30,id,0.8108,0.8046126578192503,0.40002307870934506,0.8954945476228046,0.12853958510628363,0.012146044744931056,0.01579820905464269
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,30,ood,0.7016866938595524,0.7575633987953633,0.5760989149841643,0.8377754088075953,0.19694857789626558,0.2811722945282386,0.28094455513680405
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,0,id,0.8125,0.8072268752685106,0.40289428585419435,0.8942970633962339,0.1294995663342957,0.012751371432961137,0.014514914282699637
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,0,ood,0.6961746224231066,0.76180985476213,0.6045422671544204,0.8343330951544049,0.20660442278291236,0.28665541788468796,0.2864614161769414
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,5,id,0.8062,0.8011064156697729,0.43557922132718757,0.8882239001286781,0.13668815058647313,0.053733228166650215,0.054504957096053096
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,5,ood,0.6861426524087753,0.7529921708612053,0.7084772711006753,0.8243770108365003,0.22621762057615355,0.28856523677467216,0.2947349518298038
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,10,id,0.8125,0.8062139851466772,0.3990477144526234,0.8958917376845792,0.12856461856189463,0.00952403423989392,0.012208143257318596
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,10,ood,0.6894498952706427,0.7589647831046278,0.612990242342066,0.8335197230868707,0.20929864784087288,0.29704556825606304,0.29685660710718753
