dataset,suite,model,seed,kind,device,wall_s,split,acc,bacc,auroc,logloss,brier,ece,smece,optimism_gap,acc_degradation
acs_income_ca2sd,whyshift,lgbm,2,gbdt,cpu,167.6,ood,0.6976934068177179,0.7398269897071431,0.8255098024792816,0.5699508684210981,0.19627481980312564,0.19441853330918257,0.19413013780813831,,0.12080659318228215
acs_income_ca2sd,whyshift,lgbm,3,gbdt,cpu,201.2,id,0.827,0.8196774563004037,0.9056803468980462,0.3826536880552828,0.12202943058418052,0.012107757731941244,0.013308852554079683,-0.014445776881989725,
acs_income_ca2sd,whyshift,lgbm,3,gbdt,cpu,201.2,ood,0.7109614206981016,0.7460580615542265,0.832407745598861,0.5578443994936001,0.19011467812153895,0.18328662356623124,0.1830594400670257,,0.11603857930189831
acs_income_ca2sd,whyshift,lgbm,4,gbdt,cpu,206.7,id,0.8132,0.8066185188061401,0.8930411741865342,0.4039655607691309,0.1298428812425029,0.00883120973299682,0.011211620403740262,0.005599075233150674,
acs_income_ca2sd,whyshift,lgbm,4,gbdt,cpu,206.7,ood,0.7089201877934272,0.7479933621472452,0.8325480950520898,0.5455287970956121,0.1871582457175455,0.18455762850008556,0.1842431904059269,,0.10427981220657279
acs_income_ca2sd,whyshift,logreg,0,linear,cpu,1.1,id,0.7797,0.7690277767212662,0.8592176449430293,0.46048993274912625,0.14954797035458778,0.01767505288203862,0.020463453836723575,,
acs_income_ca2sd,whyshift,logreg,0,linear,cpu,1.1,ood,0.7107572974076342,0.7223455564179437,0.7983379158275291,0.5762171073964338,0.19149503866066636,0.17319918937129777,0.17301532441339146,,0.06894270259236579
acs_income_ca2sd,whyshift,logreg,1,linear,cpu,1.1,id,0.7825,0.7725604691341617,0.8582101593129112,0.46168389747860444,0.1498844233793899,0.01352483656423919,0.014648282252087487,,
acs_income_ca2sd,whyshift,logreg,1,linear,cpu,1.1,ood,0.7044294754031435,0.7222970470813233,0.8002516567153831,0.5827100196675226,0.19412095083671432,0.1797136232039103,0.17953087318076374,,0.07807052459685648
acs_income_ca2sd,whyshift,logreg,2,linear,cpu,1.1,id,0.7826,0.7726027382569957,0.8629290134696295,0.4556468954229722,0.14807273444340324,0.018843617315303485,0.018415304930476648,,
acs_income_ca2sd,whyshift,logreg,2,linear,cpu,1.1,ood,0.7132067768932435,0.7247377325277613,0.8002432019290441,0.5689712427063717,0.18977635122476366,0.1696986662182878,0.16950141550983344,,0.06939322310675644
acs_income_ca2sd,whyshift,logreg,3,linear,cpu,1.1,id,0.7879,0.7769140212580534,0.8702873516688652,0.4479337937395938,0.14412525407411048,0.023852661321034314,0.02345951656328511,,
acs_income_ca2sd,whyshift,logreg,3,linear,cpu,1.1,ood,0.7136150234741784,0.7247792666656521,0.8010398541718452,0.5684093395500837,0.18930194500262806,0.16915783222587621,0.16896866567746488,,0.07428497652582167
acs_income_ca2sd,whyshift,logreg,4,linear,cpu,1.1,id,0.7794,0.7689389350521603,0.8543267738344853,0.46969087982629,0.15183647529355923,0.018199635479013446,0.01834027205024882,,
acs_income_ca2sd,whyshift,logreg,4,linear,cpu,1.1,ood,0.7089201877934272,0.7241825701197705,0.7991869877456327,0.5731365802206853,0.19160114155843797,0.17397000398433712,0.17377926084377995,,0.07047981220657273
acs_income_ca2sd,whyshift,mlp,0,mlp,cpu,5.7,id,0.7955,0.7883530844186548,0.8763755520757875,0.4336032640690588,0.1410244376185953,0.022603732713311907,0.023258439881730545,,
acs_income_ca2sd,whyshift,mlp,0,mlp,cpu,5.7,ood,0.7066748315982854,0.7335975031324984,0.8135854888811105,0.5674979444904287,0.19275818216656446,0.1788010479881219,0.18032570922822408,,0.08882516840171462
acs_income_ca2sd,whyshift,mlp,1,mlp,cpu,4.2,id,0.7938,0.7875423616187123,0.8764764062396172,0.43254074876304055,0.1412112660699599,0.027595574124157436,0.02828939853425412,,
acs_income_ca2sd,whyshift,mlp,1,mlp,cpu,4.2,ood,0.7003470095937947,0.7345014254769768,0.8162084806579853,0.5781222701478159,0.19767123385194627,0.19063992071064134,0.192921579523115,,0.09345299040620525
acs_income_ca2sd,whyshift,mlp,2,mlp,cpu,3.3,id,0.7935,0.7922831947863214,0.8790597867034712,0.43038768404261357,0.14008261105776995,0.026345743273943664,0.026475462940917165,,
acs_income_ca2sd,whyshift,mlp,2,mlp,cpu,3.3,ood,0.6956521739130435,0.7377144556554911,0.8181081654635505,0.5611949976629967,0.1945345264882722,0.19269937618496247,0.19304305959312773,,0.09784782608695652
acs_income_ca2sd,whyshift,mlp,3,mlp,cpu,2.7,id,0.7967,0.787299504487782,0.8788330738278975,0.4317939275219009,0.139439428926342,0.019048715069703754,0.02056586855378606,,
acs_income_ca2sd,whyshift,mlp,3,mlp,cpu,2.7,ood,0.7076954480506226,0.7300106657129668,0.8073327516440333,0.5475558988107463,0.18717136272931428,0.16784817846592687,0.16756327390237744,,0.0890045519493774
acs_income_ca2sd,whyshift,mlp,4,mlp,cpu,3.0,id,0.7901,0.7826807486215734,0.8707588827625482,0.4406368865358192,0.14338744316459176,0.018102295137941822,0.018111963380027324,,
acs_income_ca2sd,whyshift,mlp,4,mlp,cpu,3.0,ood,0.7062665850173505,0.7390324511609268,0.8172485250625232,0.5301367332068522,0.18249019912318595,0.16604612494021756,0.16650847055057647,,0.08383341498264951
acs_income_ca2sd,whyshift,tabicl,0,tfm,cuda,13.8,id,0.8221,0.815026890747989,0.902032654811817,0.38717072748651593,0.12458100344737877,0.017735117206536238,0.016882453651234138,,
acs_income_ca2sd,whyshift,tabicl,0,tfm,cuda,13.8,ood,0.7254541743212901,0.7393178001998713,0.8286505442345966,0.5203132950293899,0.17672030335484865,0.1490897951276175,0.14942949045464915,,0.09664582567870994
acs_income_ca2sd,whyshift,tabicl,1,tfm,cuda,13.9,id,0.8195,0.8146446607748024,0.9016741560901057,0.3905674733901187,0.12531902065693543,0.024355948621034625,0.02417678149920797,,
acs_income_ca2sd,whyshift,tabicl,1,tfm,cuda,13.9,ood,0.7160645029597877,0.7486011556001968,0.8325892064506638,0.5506185177922286,0.18769768704276224,0.1729782273143889,0.17476920297003415,,0.10343549704021227
acs_income_ca2sd,whyshift,tabicl,2,tfm,cuda,13.9,id,0.8254,0.8200333687511804,0.9030112346796776,0.38884711624130075,0.12373583422570728,0.015226983558014037,0.016672940223140423,,
acs_income_ca2sd,whyshift,tabicl,2,tfm,cuda,13.9,ood,0.7181057358644621,0.7530947688545963,0.8343508668692434,0.5640087492577793,0.190323684973111,0.1808305679413464,0.18144843381666825,,0.10729426413553789
acs_income_ca2sd,whyshift,tabicl,3,tfm,cuda,13.9,id,0.831,0.8238255939169424,0.9102969971419845,0.37431600106172475,0.11918167604857222,0.017334937720559537,0.016982992943675553,,
acs_income_ca2sd,whyshift,tabicl,3,tfm,cuda,13.9,ood,0.7252500510308226,0.749892835583152,0.8341741618347562,0.5461798744978544,0.18415255400027586,0.1648258385245631,0.16720180737443596,,0.10574994896917733
acs_income_ca2sd,whyshift,tabicl,4,tfm,cuda,14.0,id,0.8191,0.8129766249902928,0.8998303745696462,0.39467420151033844,0.12578899282599415,0.018931035288423298,0.019691293115963442,,
acs_income_ca2sd,whyshift,tabicl,4,tfm,cuda,14.0,ood,0.713002653602776,0.7424560055192846,0.8342266871948879,0.5431150912783966,0.18434203782622977,0.17108178288725462,0.17283606872188323,,0.10609734639722401
